 Freq Word
14505 the
 6701 of
 6434 and
 4687 a
 4657 to
 4200 in
 3430 
 2952 that
 2520 his
 2382 it
 1943 i
 1780 but
 1768 with
 1749 he
 1732 is
 1730 as
 1637 was
 1627 for
 1493 all
 1409 this
 1326 at
 1219 by
 1151 not
 1103 from
 1061 on
 1056 be
 1044 him
 1043 so
  959 whale
  929 you
  892 one
  794 or
  777 had
  770 have
  767 there
  765 now
  681 were
  660 they
  647 which
  619 their
  616 are
  616 then
  615 some
  609 me
  597 when
  593 an
  586 my
  581 no
  575 like
  567 upon
  545 what
  523 into
  521 out
  511 up
  504 more
  494 if
  468 its
  458 them
  450 we
  442 old
  435 man
  427 would
  421 ye
  416 ahab
  415 been
  412 other
  403 over
  399 these
  393 will
  389 whales
  383 ship
  379 sea
  374 only
  373 such
  364 though
  361 down
  361 any
  339 yet
  336 who
  323 time
  323 her
  321 very
  316 long
  315 about
  315 do
  309 than
  307 still
  306 those
  303 great
  297 before
  293 captain
  293 said
  293 has
  291 must
  288 here
  283 two
  282 most
  281 seemed
  274 last
  269 head
  264 see
  264 thou
  261 after
  258 your
  257 way
  252 again
  251 did
  249 may
  249 little
  248 white
  246 boat
  245 while
  242 round
  241 how
  239 sperm
  237 three
  233 first
  231 us
  231 through
  230 every
  227 stubb
  226 say
  225 men
  224 well
  222 much
  218 being
  215 could
  211 queequeg
  210 our
  209 same
  206 off
  206 where
  205 own
  203 can
  203 never
  200 himself
  195 good
  195 almost
  195 hand
  192 ever
  187 even
  186 go
  185 side
  184 should
  183 thing
  182 might
  179 look
  178 boats
  176 away
  176 made
  175 too
  173 chapter
  173 come
  169 starbuck
  167 among
  167 many
  165 water
  161 without
  160 seen
  159 far
  158 deck
  157 day
  157 sir
  154 ships
  154 eyes
  154 nor
  152 sort
  152 world
  151 part
  149 back
  148 once
  148 thought
  147 cried
  146 know
  144 right
  137 air
  137 whole
  137 oh
  136 life
  135 aye
  134 let
  134 against
  134 crew
  133 take
  132 thus
  129 thee
  129 night
  129 things
  129 each
  129 came
  129 soon
  127 tell
  126 feet
  126 hands
  125 small
  125 full
  122 both
  121 till
  121 under
  121 pequod
  119 between
  119 something
  118 god
  118 found
  117 think
  117 line
  116 just
  116 she
  114 towards
  114 make
  113 thy
  113 whaling
  112 called
  111 another
  110 nothing
  110 dont
  110 times
  110 along
  109 saw
  109 place
  107 body
  107 why
  107 poor
  105 work
  104 heard
  103 sight
  102 fish
  100 high
  100 moment
   99 voyage
   98 end
   97 went
   97 years
   96 shall
   96 hold
   96 does
   96 strange
   95 get
   95 hes
   95 flask
   94 nantucket
   94 face
   94 few
   93 also
   91 stand
   91 because
   91 project
   91 certain
   91 dead
   90 leviathan
   90 stood
   90 however
   89 half
   88 days
   88 whether
   88 indeed
   87 sometimes
   87 seas
   87 perhaps
   87 new
   87 black
   87 am
   86 leg
   86 whose
   86 give
   86 seems
   85 going
   84 heart
   84 matter
   84 seem
   84 moby
   84 itself
   84 true
   83 sun
   83 set
   82 wild
   82 standing
   81 eye
   81 hard
   81 dick
   80 always
   80 within
   80 sail
   80 known
   79 present
   79 arm
   79 young
   78 large
   78 oil
   78 ere
   78 soul
   77 death
   77 length
   76 ill
   76 mind
   76 sailor
   76 beneath
   75 tail
   75 iron
   75 land
   75 ahabs
   74 done
   74 harpooneer
   74 cabin
   74 least
   74 enough
   74 lay
   74 instant
   74 light
   73 cannot
   73 thats
   73 vast
   72 morning
   72 often
   72 living
   72 put
   72 word
   71 bildad
   71 bed
   70 case
   70 harpoon
   70 general
   70 near
   69 jonah
   69 peleg
   68 name
   68 open
   68 rather
   67 ocean
   67 four
   67 whalemen
   67 keep
   67 business
   67 point
   66 deep
   66 therefore
   66 waters
   66 turned
   66 wind
   65 yes
   65 myself
   65 best
   65 having
   65 left
   64 looked
   64 pip
   64 order
   63 better
   63 hear
   63 reason
   63 since
   62 lord
   62 board
   62 fire
   62 lower
   62 further
   61 together
   61 turn
   61 mate
   60 fishery
   60 second
   59 live
   59 themselves
   59 theres
   58 forth
   58 mouth
   58 mr
   58 harpooneers
   57 feel
   57 book
   57 fine
   56 next
   56 gutenberg-tm
   56 chase
   56 peculiar
   56 looking
   55 call
   55 aloft
   55 find
   55 above
   55 home
   55 short
   55 dark
   54 gone
   54 goes
   54 entire
   54 sailors
   54 others
   54 curious
   53 jaw
   53 less
   53 began
   53 blood
   52 grand
   52 slowly
   52 coming
   52 comes
   52 below
   52 broad
   52 sharks
   52 run
   51 rest
   51 used
   51 mates
   51 bottom
   51 turning
   51 close
   51 particular
   51 taken
   51 tashtego
   51 indian
   51 mans
   50 suddenly
   50 ivory
   50 nevertheless
   50 stern
   50 hundred
   50 thousand
   50 besides
   50 mark
   50 taking
   50 forward
   49 craft
   49 took
   49 behind
   49 pequods
   49 english
   49 form
   48 cook
   48 savage
   48 view
   48 lost
   48 story
   48 green
   48 bows
   48 several
   48 whats
   48 speak
   48 common
   47 waves
   47 mighty
   47 means
   47 kept
   47 ten
   46 struck
   46 coffin
   46 teeth
   46 cut
   46 use
   46 whatever
   46 else
   46 touching
   46 voice
   46 broken
   46 told
   46 got
   45 anything
   45 sure
   45 wide
   45 watch
   45 sat
   45 fast
   45 sleep
   45 vessel
   45 whom
   45 fact
   44 king
   44 bones
   44 running
   44 caught
   44 somehow
   44 heads
   44 room
   44 spout
   44 works
